Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
6650557;11605077;2;32;kuorma-auto;2;varsinainen perävaunu;-1;Ei arvoa;;
6612908;11605078;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;32;910
6612908;11605079;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1546
6612909;11605085;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6620262;11605086;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6686063;11605089;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6686063;11605090;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6581456;11605091;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;22;1750
6581456;11605092;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1560
6695592;11605093;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;3;12560
6578259;11605095;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6650554;11605096;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6640126;11605099;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;965
6695650;11605107;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1309
6695650;11605108;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6688928;11605111;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;;
6688928;11605112;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6664675;11605114;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1700
6655452;11605115;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1845
6655452;11605116;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1680
6656387;11605333;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;12;8750
6656387;11605334;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1560
6688930;11605336;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1425
6688930;11605337;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1240
6790975;11605338;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1580
6790975;11605339;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6688931;11605340;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1245
6688931;11605341;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6688931;11605342;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6656388;11605343;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;1360
6612854;11605344;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;6;8200
6622148;11605345;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;2;1975
6622148;11605346;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1733
6656389;11605349;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1505
6656389;11605350;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1076
6686085;11605351;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1190
6686085;11605352;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1798
