Onnett_id;Tienpit;Tienpitsel;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;Vakavuus;ELY;Elynimi;Vkpv;Ontyyppi;Ontyypsel;Onluokka;Onlksel;Osallkm;Nopraj;Taajmerk;Taajamasel;Pinta;Pintasel;Valoisuus;Valsel;Sää;Sääsel;Onnpaikka;Onnpaiksel;Liikvalot;Liikvalsel;Liittyvtie;Maakunta;Maakuntsel;Kunta;Kuntasel;Noplaji;Noplajisel;Nopsuunvas;Nopsuunoik;Taajama;Mo_mol;Mo_molsel;Toimluokka;Toimlksel;Kvl;Raskaskvl;Tienlev;X;Y;Tietyö;Päällyste;Päällsel;Lämpötila;Risteys;Risteyssel;Rautatie;Rautatsel;Muuliit;Muuliitsel;Katuosoite;Tietyyppi;Tietyypsel;Talvhoitlk;Talvhoitsel;Tienverkas;Tienverkse;Maankäyttö;Maankäytse;Valoohjaus;Valoohjsel;Lisäkaisty;Lisäkaisse;Solmutyyp;Solmutyyps;Liitluok;Liitlksel;Lähliittie;Suuntlkm;Toimenpide;Toimpidsel;Luovpvm;Valaisomis;Valomsel;Poikkileik;Poikleikse;Päällyslev;Päällystlk;Päällksel;Nakos150;Nakos300;Nakos460;Runkotie;Raskos
9398417;1;Väylävirasto;13;209;4232;0;2019;9;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Torstai;90;eläinonnettomuus ;10;hirvionnettomuus;2;80;0;E;2;paljas, märkä;3;pimeä (valaisematon);-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;80;80;E;-1;Ei arvoa;1;valtatie;2690;303;82;486102;6873921;E;1;kestopäällyste;5;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;MIKKELINTIE                             ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;1.1.1972;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;99;45;8;0;ei
9313223;1;Väylävirasto;13;210;272;0;2019;1;2;Loukkaantumiseen johtanut;8;Pohjois-Savon ELY;Keskiviikko;29;muu kohtaamisonnettomuus, ei kääntymistä;5;kohtaamisonnettomuus;2;80;0;E;6;jäinen;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;2690;303;82;487871;6872353;E;1;kestopäällyste;-7;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 13                                  ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;1.1.1972;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;100;85;0;ei
9344362;1;Väylävirasto;13;210;2114;0;2019;6;2;Loukkaantumiseen johtanut;8;Pohjois-Savon ELY;Lauantai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;100;0;E;2;paljas, märkä;2;hämärä;4;vesisade;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;2690;303;82;488992;6870898;E;1;kestopäällyste;13;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;MIKKELINTIE, VT13                       ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;1.1.1972;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;100;85;0;ei
9398387;1;Väylävirasto;13;212;1789;0;2019;9;2;Loukkaantumiseen johtanut;8;Pohjois-Savon ELY;Sunnuntai;0;ohitus;3;ohitusonnettomuus;3;100;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;2165;292;82;494298;6866201;E;1;kestopäällyste;22;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;VT 13, MIKKELINTIE                      ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;1.1.1972;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;100;93;0;ei
9533977;1;Väylävirasto;13;212;3315;0;2019;12;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Sunnuntai;80;suistuminen oikealle suoralla ;1;yksittäisonnettomuus;1;80;0;E;6;jäinen;3;pimeä (valaisematon);6;räntäsade;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;2165;292;82;495143;6864934;E;1;kestopäällyste;1;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;MIKKELINTIE LÄSÄKOSKI                   ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;1.1.1972;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;100;93;0;ei
9473864;1;Väylävirasto;13;212;3638;0;2019;10;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Lauantai;80;suistuminen oikealle suoralla ;1;yksittäisonnettomuus;1;100;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;80;80;E;-1;Ei arvoa;1;valtatie;2165;292;82;495328;6864671;E;1;kestopäällyste;10;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;VT13, LÄSÄKOSKI                         ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;1.1.1972;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;100;93;0;ei
9343849;1;Väylävirasto;13;215;20;0;2019;6;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Tiistai;86;suistuminen tieltä risteyksessä;1;yksittäisonnettomuus;1;80;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;491;Mikkeli;2;pistekohtainen osana tiekohtaista;80;80;E;-1;Ei arvoa;1;valtatie;2869;300;82;502403;6855800;E;1;kestopäällyste;19;2;kärkikolmio;-1;Ei arvoa;-1;Ei arvoa;RUKKIOJANTIE X JYVÄSKYLÄNTIE            ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;tasoliittymä;1;liittymä;15254;3;2;suuntauksen parantaminen;1.1.1968;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;99;90;53;0;ei
9477629;1;Väylävirasto;13;216;1529;0;2019;11;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Torstai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;80;0;E;1;paljas, kuiva;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;491;Mikkeli;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;2869;300;82;505536;6851587;E;1;kestopäällyste;-5;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;JYVÄSKYLÄNTIE                           ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;2;suuntauksen parantaminen;1.1.1968;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;98;79;0;ei
9534275;1;Väylävirasto;13;216;6498;0;2019;12;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Torstai;90;eläinonnettomuus ;10;hirvionnettomuus;2;80;0;E;4;luminen;3;pimeä (valaisematon);2;pilvipouta;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;491;Mikkeli;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;2869;300;82;507477;6847080;E;1;kestopäällyste;-1;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;JYVÄSKYLÄNTIE                           ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;2;suuntauksen parantaminen;1.1.1968;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;98;79;0;ei
9343190;1;Väylävirasto;13;217;2741;0;2019;5;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Perjantai;80;suistuminen oikealle suoralla ;1;yksittäisonnettomuus;1;100;0;E;2;paljas, märkä;1;päivänvalo;4;vesisade;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;491;Mikkeli;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;3269;316;82;509532;6844201;E;1;kestopäällyste;10;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;JYVÄSKYLÄNTIE                           ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;2;suuntauksen parantaminen;1.1.1968;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;84;51;0;ei
