,id,year,month,day_of_week,x,y,vehicle_mass,region,road_type,Seriousness
1233,9956305,2021,1,Perjantai,390725.0,6686692.0,1515.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1234,9956306,2021,1,Sunnuntai,384380.0,6687066.0,2120.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1235,9956306,2021,1,Sunnuntai,384380.0,6687066.0,1980.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1236,9956307,2021,1,Tiistai,381201.0,6682336.0,1415.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1237,9956308,2021,1,Keskiviikko,395253.0,6683303.0,1236.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1238,9956308,2021,1,Keskiviikko,395253.0,6683303.0,,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1239,9956309,2021,1,Lauantai,428551.0,6763857.0,17600.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1240,9956309,2021,1,Lauantai,428551.0,6763857.0,1534.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1241,9956310,2021,1,Maanantai,359776.0,6767022.0,2185.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1242,9956310,2021,1,Maanantai,359776.0,6767022.0,10500.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1243,9956311,2021,1,Maanantai,407904.0,6748787.0,1140.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1244,9956311,2021,1,Maanantai,407904.0,6748787.0,5150.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1245,9956312,2021,1,Tiistai,426473.0,6758884.0,1715.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1246,9956313,2021,1,Keskiviikko,421489.0,6761108.0,1163.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1247,9956314,2021,1,Keskiviikko,324110.0,6746698.0,1393.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1248,9956315,2021,1,Perjantai,427819.0,6764660.0,13200.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1249,9956315,2021,1,Perjantai,427819.0,6764660.0,1505.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
