id,year,month,day_of_week,lon,lat,vehicle_mass,Seriousness,snowfall_1,snowfall_2,snowfall_3,snowfall_4,snowfall_5
8119999,2017,1,sunnuntai,23.7689,62.9987,4790.0,Loukkaantumiseen johtanut,1.2600001096725464,0.1400000005960464,0.1400000005960464,0.2800000011920929,0.2100000083446502
8120000,2017,1,perjantai,24.926,60.2026,1700.0,Ei henkilövahinkoja,3.7800002098083496,0.7700000405311584,0.0,0.0,
8120000,2017,1,perjantai,24.926,60.2026,1275.0,Ei henkilövahinkoja,3.7800002098083496,0.7700000405311584,0.0,0.0,
8120000,2017,1,perjantai,24.926,60.2026,11850.0,Ei henkilövahinkoja,3.7800002098083496,0.7700000405311584,0.0,0.0,
8120001,2017,1,maanantai,24.8581,60.3589,15300.0,Ei henkilövahinkoja,3.1500003337860107,0.2800000011920929,0.1400000005960464,0.0,0.0
8120002,2017,1,lauantai,27.2815,61.6957,1565.0,Ei henkilövahinkoja,0.1400000005960464,0.0,0.7699999809265137,0.0700000002980232,
8120003,2017,1,sunnuntai,22.3579,60.4706,1595.0,Ei henkilövahinkoja,0.1400000005960464,0.0,0.0,0.0,0.0
8120003,2017,1,sunnuntai,22.3579,60.4706,1570.0,Ei henkilövahinkoja,0.1400000005960464,0.0,0.0,0.0,0.0
8120004,2017,1,perjantai,25.8182,62.9112,,Ei henkilövahinkoja,1.46999990940094,0.2100000083446502,0.2100000083446502,0.0,
8120005,2017,1,torstai,24.8468,60.2431,1505.0,Ei henkilövahinkoja,0.0,6.579999923706055,0.4899999797344208,0.0,
8120005,2017,1,torstai,24.8468,60.2431,1645.0,Ei henkilövahinkoja,0.0,6.579999923706055,0.4899999797344208,0.0,
8120005,2017,1,torstai,24.8468,60.2431,1095.0,Ei henkilövahinkoja,0.0,6.579999923706055,0.4899999797344208,0.0,
8120006,2017,1,perjantai,21.9602,61.3811,1780.0,Ei henkilövahinkoja,2.93999981880188,0.0,0.0,0.0,
8120006,2017,1,perjantai,21.9602,61.3811,1307.0,Ei henkilövahinkoja,2.93999981880188,0.0,0.0,0.0,
8120007,2017,1,tiistai,24.9223,60.1764,1893.0,Ei henkilövahinkoja,0.9099999666213988,0.3499999940395355,0.4900000095367431,0.0,
8120007,2017,1,tiistai,24.9223,60.1764,1445.0,Ei henkilövahinkoja,0.9099999666213988,0.3499999940395355,0.4900000095367431,0.0,
8120008,2017,1,sunnuntai,23.7329,61.4621,2530.0,Loukkaantumiseen johtanut,1.6100003719329834,0.0,0.0700000002980232,0.0,0.4199999868869781
8120009,2017,1,perjantai,24.8264,60.2153,,Ei henkilövahinkoja,4.690000534057617,1.399999976158142,0.0,0.0,
8120009,2017,1,perjantai,24.8264,60.2153,,Ei henkilövahinkoja,4.690000534057617,1.399999976158142,0.0,0.0,
8120010,2017,1,perjantai,25.7598,62.2556,15560.0,Loukkaantumiseen johtanut,2.0299999713897705,2.380000114440918,0.1400000005960464,0.0,
8120010,2017,1,perjantai,25.7598,62.2556,106.0,Loukkaantumiseen johtanut,2.0299999713897705,2.380000114440918,0.1400000005960464,0.0,
8120011,2017,1,perjantai,23.5095,61.4795,1645.0,Ei henkilövahinkoja,1.540000081062317,0.2100000083446502,0.1400000005960464,0.0,
8120011,2017,1,perjantai,23.5095,61.4795,1870.0,Ei henkilövahinkoja,1.540000081062317,0.2100000083446502,0.1400000005960464,0.0,
8120012,2017,1,keskiviikko,27.2799,63.5177,1020.0,Loukkaantumiseen johtanut,0.0,0.2800000011920929,0.0700000002980232,0.0,
8120012,2017,1,keskiviikko,27.2799,63.5177,1395.0,Loukkaantumiseen johtanut,0.0,0.2800000011920929,0.0700000002980232,0.0,
8120013,2017,1,tiistai,23.1427,63.8383,1245.0,Loukkaantumiseen johtanut,0.0,0.699999988079071,0.2100000083446502,0.2800000011920929,
8120013,2017,1,tiistai,23.1427,63.8383,92.0,Loukkaantumiseen johtanut,0.0,0.699999988079071,0.2100000083446502,0.2800000011920929,
8120014,2017,1,lauantai,26.6283,60.8932,1433.0,Ei henkilövahinkoja,0.1400000005960464,0.0,0.699999988079071,0.2100000083446502,
8120015,2017,1,perjantai,25.2225,60.3912,9800.0,Ei henkilövahinkoja,3.5,0.4199999868869781,0.0,0.0,
8120016,2017,1,lauantai,22.9722,61.407,1540.0,Loukkaantumiseen johtanut,0.0,0.0,0.0,0.3499999940395355,
8120017,2017,1,sunnuntai,23.7924,61.506,1945.0,Ei henkilövahinkoja,1.6100003719329834,0.0,0.0700000002980232,0.0,0.4199999868869781
8120018,2017,1,maanantai,22.1498,61.3096,1328.0,Loukkaantumiseen johtanut,0.0,0.0,0.3500000238418579,0.0,0.0
8120019,2017,1,maanantai,24.6468,60.1491,1520.0,Ei henkilövahinkoja,3.359999895095825,0.2800000011920929,0.0700000002980232,0.0,0.0
8120019,2017,1,maanantai,24.6468,60.1491,,Ei henkilövahinkoja,3.359999895095825,0.2800000011920929,0.0700000002980232,0.0,0.0
8120020,2017,1,tiistai,21.8214,63.1646,1490.0,Ei henkilövahinkoja,0.0,1.470000147819519,0.0,0.1400000005960464,
8120021,2017,1,perjantai,21.9561,61.5009,,Loukkaantumiseen johtanut,2.870000123977661,0.0,0.0,0.0,
8120021,2017,1,perjantai,21.9561,61.5009,1605.0,Loukkaantumiseen johtanut,2.870000123977661,0.0,0.0,0.0,
8120022,2017,1,tiistai,25.7781,62.2672,,Ei henkilövahinkoja,0.0700000002980232,0.4199999868869781,0.3499999940395355,0.1400000005960464,
